ID,Region,Duration,Winner,Hero1,K1,D1,A1,XPM1,GPM1,DMG1,Hero2,K2,D2,A2,XPM2,GPM2,DMG2,Hero3,K3,D3,A3,XPM3,GPM3,DMG3,Hero4,K4,D4,A4,XPM4,GPM4,DMG4,Hero5,K5,D5,A5,XPM5,GPM5,DMG5,Hero6,K6,D6,A6,XPM6,GPM6,DMG6,Hero7,K7,D7,A7,XPM7,GPM7,DMG7,Hero8,K8,D8,A8,XPM8,GPM8,DMG8,Hero9,K9,D9,A9,XPM9,GPM9,DMG9,Hero10,K10,D10,A10,XPM10,GPM10,DMG10
2286259042,US East,21:58,Radiant,witch-doctor,4,1,24,363,434,3.4k,night-stalker,7,1,18,412,490,7.9k,outworld-devourer,10,0,11,507,587,10k,gyrocopter,13,0,16,553,761,16.6k,faceless-void,3,2,16,449,479,6k,tidehunter,0,7,3,193,160,3.2k,queen-of-pain,3,8,1,258,246,7.1k,disruptor,1,7,1,201,175,4.1k,enigma,0,11,1,225,268,3.5k,juggernaut,0,6,3,254,253,5.1k
2286235571,US East,27:40,Radiant,tidehunter,6,3,13,513,442,13k,disruptor,4,3,22,364,326,7.3k,natures-prophet,7,2,16,494,571,9.6k,invoker,17,1,13,731,751,17.7k,slardar,4,2,19,619,566,7.4k,clinkz,4,10,2,453,396,9k,sven,3,8,2,310,342,5.6k,witch-doctor,0,7,4,281,184,2.8k,faceless-void,2,8,3,229,214,1.7k,enigma,2,6,1,358,333,2.7k
2286249751,US East,20:36,Radiant,ancient-apparition,5,0,24,322,351,4.9k,spectre,6,2,20,400,497,5.3k,outworld-devourer,6,0,23,475,480,15.2k,lion,5,1,19,308,345,5.2k,enchantress,12,1,16,467,494,14.4k,magnus,0,7,2,173,193,2.2k,winter-wyvern,1,7,0,111,152,2.3k,omniknight,0,7,0,111,138,1k,slardar,0,6,2,242,218,2.3k,timbersaw,1,9,0,207,212,4.9k
2286205853,Europe West,35:46,Radiant,vengeful-spirit,3,4,8,236,301,2.2k,outworld-devourer,3,4,7,482,554,6.4k,alchemist,5,0,8,709,926,8.7k,mirana,6,2,15,431,412,8.5k,beastmaster,4,3,10,386,441,4.9k,rubick,0,6,9,244,246,3.2k,slark,8,3,3,653,614,9.8k,chen,1,3,10,222,293,3.1k,batrider,3,4,6,366,362,4.3k,doom,1,5,7,296,287,2.1k
2286131764,China,34:33,Radiant,lina,10,4,10,572,564,19.9k,batrider,6,3,7,392,408,7.5k,juggernaut,13,4,14,615,583,17k,silencer,4,3,18,352,346,9.6k,kunkka,2,4,14,280,314,5.4k,outworld-devourer,2,7,9,427,380,8.3k,necrophos,3,6,12,327,335,6.8k,lion,7,9,6,276,320,7.6k,phantom-assassin,2,6,7,499,423,5.7k,omniknight,3,7,3,225,261,1k
2286138452,US East,28:31,Dire,brewmaster,2,4,4,333,264,3.9k,lion,0,7,6,242,194,4.4k,omniknight,0,5,5,160,167,2.2k,bristleback,2,5,4,323,276,4.5k,lifestealer,3,3,2,302,376,5.3k,ursa,14,1,8,600,622,15.6k,vengeful-spirit,0,4,15,240,259,3.1k,lone-druid,2,1,12,531,515,5.9k,outworld-devourer,7,1,7,462,508,10.2k,ogre-magi,1,1,16,387,326,1.8k
2286111277,Europe West,35:35,Dire,medusa,2,5,3,323,276,2.4k,witch-doctor,3,10,3,161,228,4.1k,tidehunter,1,7,6,306,276,6.6k,abaddon,0,11,4,218,186,4.6k,templar-assassin,2,6,4,284,244,4.2k,rubick,4,1,28,359,328,6.6k,sven,10,2,14,509,554,10.8k,zeus,12,2,25,498,478,24.5k,lion,6,3,23,333,318,6.7k,sand-king,7,1,29,424,397,12.3k
2286101823,China,37:54,Radiant,outworld-devourer,14,2,15,667,615,20.5k,alchemist,8,5,23,743,829,17.1k,winter-wyvern,3,9,15,333,335,4.6k,lich,7,9,20,346,319,11.4k,faceless-void,8,1,16,537,471,9.5k,death-prophet,8,11,3,340,381,17.4k,lion,5,8,6,221,228,6.1k,natures-prophet,0,7,12,284,323,7.5k,juggernaut,7,7,8,671,587,19.7k,bounty-hunter,6,7,14,264,343,6.4k
2286079125,US East,34:01,Radiant,undying,3,5,12,223,277,1.8k,phoenix,0,7,17,189,236,6.4k,weaver,12,5,13,719,614,24.7k,lina,9,3,5,592,561,12.3k,beastmaster,2,5,4,377,431,4k,outworld-devourer,5,5,9,377,299,8.5k,medusa,4,9,18,385,385,6.2k,slardar,9,6,8,457,419,9.6k,tidehunter,5,4,11,285,283,4.6k,silencer,2,3,19,276,236,7.3k
2286098400,Europe West,16:19,Radiant,natures-prophet,2,2,10,343,589,5.6k,gyrocopter,10,0,7,341,718,13.2k,witch-doctor,3,2,9,261,408,4.2k,faceless-void,1,2,7,291,465,3.8k,enchantress,3,0,8,325,547,3k,bane,1,4,3,186,238,3.9k,phoenix,0,5,1,68,125,1.1k,invoker,3,2,1,378,383,5.7k,slark,0,3,1,368,402,2k,lion,1,6,2,141,167,2.7k
